0.000000,0.000000
1.000000,0.052357
2.000000,0.104699
3.000000,0.157008
4.000000,0.209270
5.000000,0.261468
6.000000,0.313586
7.000000,0.365609
8.000000,0.417520
9.000000,0.469304
10.000000,0.520946
11.000000,0.572428
12.000000,0.623737
13.000000,0.674855
14.000000,0.725767
15.000000,0.776459
16.000000,0.826914
17.000000,0.877117
18.000000,0.927053
19.000000,0.976707
20.000000,1.026063
21.000000,1.075106
22.000000,1.123822
23.000000,1.172196
24.000000,1.220213
25.000000,1.267858
26.000000,1.315116
27.000000,1.361974
28.000000,1.408418
29.000000,1.454432
30.000000,1.500003
31.000000,1.545117
32.000000,1.589761
33.000000,1.633921
34.000000,1.677582
35.000000,1.720733
36.000000,1.763359
37.000000,1.805449
38.000000,1.846988
39.000000,1.887965
40.000000,1.928367
41.000000,1.968181
42.000000,2.007396
43.000000,2.045999
44.000000,2.083979
45.000000,2.121324
46.000000,2.158023
47.000000,2.194065
48.000000,2.229438
49.000000,2.264133
50.000000,2.298137
51.000000,2.331442
52.000000,2.364036
53.000000,2.395911
54.000000,2.427055
55.000000,2.457460
56.000000,2.487117
57.000000,2.516016
58.000000,2.544148
59.000000,2.571506
60.000000,2.598080
61.000000,2.623863
62.000000,2.648846
63.000000,2.673023
64.000000,2.696386
65.000000,2.718927
66.000000,2.740640
67.000000,2.761518
68.000000,2.781555
69.000000,2.800744
70.000000,2.819081
71.000000,2.836559
72.000000,2.853172
73.000000,2.868917
74.000000,2.883788
75.000000,2.897780
76.000000,2.910889
77.000000,2.923112
78.000000,2.934445
79.000000,2.944883
80.000000,2.954425
81.000000,2.963067
82.000000,2.970806
83.000000,2.977640
84.000000,2.983567
85.000000,2.988585
86.000000,2.992693
87.000000,2.995889
88.000000,2.998173
89.000000,2.999543
90.000000,3.000000
91.000000,2.999543
92.000000,2.998172
93.000000,2.995888
94.000000,2.992691
95.000000,2.988583
96.000000,2.983564
97.000000,2.977637
98.000000,2.970803
99.000000,2.963063
100.000000,2.954421
101.000000,2.944879
102.000000,2.934440
103.000000,2.923107
104.000000,2.910884
105.000000,2.897774
106.000000,2.883781
107.000000,2.868911
108.000000,2.853165
109.000000,2.836551
110.000000,2.819073
111.000000,2.800736
112.000000,2.781546
113.000000,2.761509
114.000000,2.740631
115.000000,2.718917
116.000000,2.696376
117.000000,2.673013
118.000000,2.648836
119.000000,2.623852
120.000000,2.598069
121.000000,2.571494
122.000000,2.544136
123.000000,2.516004
124.000000,2.487104
125.000000,2.457447
126.000000,2.427042
127.000000,2.395897
128.000000,2.364022
129.000000,2.331428
130.000000,2.298123
131.000000,2.264118
132.000000,2.229424
133.000000,2.194050
134.000000,2.158008
135.000000,2.121309
136.000000,2.083963
137.000000,2.045983
138.000000,2.007379
139.000000,1.968164
140.000000,1.928350
141.000000,1.887948
142.000000,1.846971
143.000000,1.805431
144.000000,1.763342
145.000000,1.720715
146.000000,1.677564
147.000000,1.633902
148.000000,1.589742
149.000000,1.545099
150.000000,1.499984
151.000000,1.454413
152.000000,1.408398
153.000000,1.361955
154.000000,1.315096
155.000000,1.267838
156.000000,1.220192
157.000000,1.172176
158.000000,1.123802
159.000000,1.075086
160.000000,1.026042
161.000000,0.976686
162.000000,0.927032
163.000000,0.877096
164.000000,0.826893
165.000000,0.776438
166.000000,0.725746
167.000000,0.674833
168.000000,0.623715
169.000000,0.572407
170.000000,0.520924
171.000000,0.469283
172.000000,0.417498
173.000000,0.365587
174.000000,0.313564
175.000000,0.261446
176.000000,0.209248
177.000000,0.156986
178.000000,0.104677
179.000000,0.052335
180.000000,-0.000022
181.000000,-0.052379
182.000000,-0.104721
183.000000,-0.157030
184.000000,-0.209292
185.000000,-0.261490
186.000000,-0.313608
187.000000,-0.365631
188.000000,-0.417542
189.000000,-0.469326
190.000000,-0.520967
191.000000,-0.572450
192.000000,-0.623758
193.000000,-0.674876
194.000000,-0.725789
195.000000,-0.776480
196.000000,-0.826935
197.000000,-0.877138
198.000000,-0.927074
199.000000,-0.976727
200.000000,-1.026083
201.000000,-1.075127
202.000000,-1.123843
203.000000,-1.172216
204.000000,-1.220233
205.000000,-1.267878
206.000000,-1.315136
207.000000,-1.361994
208.000000,-1.408437
209.000000,-1.454451
210.000000,-1.500022
211.000000,-1.545136
212.000000,-1.589780
213.000000,-1.633939
214.000000,-1.677600
215.000000,-1.720751
216.000000,-1.763377
217.000000,-1.805466
218.000000,-1.847005
219.000000,-1.887982
220.000000,-1.928383
221.000000,-1.968197
222.000000,-2.007412
223.000000,-2.046015
224.000000,-2.083995
225.000000,-2.121340
226.000000,-2.158039
227.000000,-2.194080
228.000000,-2.229453
229.000000,-2.264147
230.000000,-2.298151
231.000000,-2.331456
232.000000,-2.364050
233.000000,-2.395924
234.000000,-2.427068
235.000000,-2.457473
236.000000,-2.487129
237.000000,-2.516027
238.000000,-2.544160
239.000000,-2.571517
240.000000,-2.598091
241.000000,-2.623873
242.000000,-2.648857
243.000000,-2.673033
244.000000,-2.696395
245.000000,-2.718936
246.000000,-2.740649
247.000000,-2.761526
248.000000,-2.781563
249.000000,-2.800752
250.000000,-2.819088
251.000000,-2.836566
252.000000,-2.853179
253.000000,-2.868923
254.000000,-2.883794
255.000000,-2.897786
256.000000,-2.910895
257.000000,-2.923117
258.000000,-2.934449
259.000000,-2.944888
260.000000,-2.954429
261.000000,-2.963070
262.000000,-2.970809
263.000000,-2.977642
264.000000,-2.983569
265.000000,-2.988587
266.000000,-2.992694
267.000000,-2.995890
268.000000,-2.998174
269.000000,-2.999544
